# ============================================================
# ComfyUI Eclipse - Workflow Migration Node Name Mappings (RvTools v2 [])
# Format: Legacy Node Type ID (Find)|Unified Node Type ID (Replace)
# Lines starting with # are ignored.
# ============================================================

Save Images [RvTools]|Save Images [Eclipse]
Mask Switch Switch [RvTools]|Any Dual-Switch [Eclipse]
Mask Switch [RvTools]|Any Dual-Switch [Eclipse]
Mask Switch Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Pipe Switch Switch [RvTools]|Any Dual-Switch [Eclipse]
Pipe Switch [RvTools]|Any Dual-Switch [Eclipse]
Pipe Switch Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Pass CLIP [RvTools]|Clip Passer [Eclipse]
Pass CLIP v2 [RvTools]|Clip Passer [Eclipse]
Pass CLIP_v2 [RvTools]|Clip Passer [Eclipse]
Pass Model [RvTools]|Model Passer [Eclipse]
Pass Model v2 [RvTools]|Model Passer [Eclipse]
Pass Model_v2 [RvTools]|Model Passer [Eclipse]
Pass Vae [RvTools]|VAE Passer [Eclipse]
Pass Vae v2 [RvTools]|VAE Passer [Eclipse]
Pass Vae_v2 [RvTools]|VAE Passer [Eclipse]
Pass VAE [RvTools]|VAE Passer [Eclipse]
Pass VAE v2 [RvTools]|VAE Passer [Eclipse]
Pass VAE_v2 [RvTools]|VAE Passer [Eclipse]
Pass Images [RvTools]|Image Passer [Eclipse]
Pass Images v2 [RvTools]|Image Passer [Eclipse]
Pass Images_v2 [RvTools]|Image Passer [Eclipse]
Pass Image [RvTools]|Image Passer [Eclipse]
Pass Image v2 [RvTools]|Image Passer [Eclipse]
Pass Image_v2 [RvTools]|Image Passer [Eclipse]
Pass Mask [RvTools]|Mask Passer [Eclipse]
Pass Mask v2 [RvTools]|Mask Passer [Eclipse]
Pass Mask_v2 [RvTools]|Mask Passer [Eclipse]
Pass Audio [RvTools]|Audio Passer [Eclipse]
Pass Audio v2 [RvTools]|Audio Passer [Eclipse]
Pass Audio_v2 [RvTools]|Audio Passer [Eclipse]
Pass Latent [RvTools]|Latent Passer [Eclipse]
Pass Latent v2 [RvTools]|Latent Passer [Eclipse]
Pass Latent_v2 [RvTools]|Latent Passer [Eclipse]
Pass Conditioning [RvTools]|Conditioning Passer [Eclipse]
Pass Conditioning v2 [RvTools]|Conditioning Passer [Eclipse]
Pass Conditioning_v2 [RvTools]|Conditioning Passer [Eclipse]
Pass ControlNet [RvTools]|ControlNet Passer [Eclipse]
Pass ControlNet v2 [RvTools]|ControlNet Passer [Eclipse]
Pass ControlNet_v2 [RvTools]|ControlNet Passer [Eclipse]
Pass Detailer Pipe [RvTools]|Detailer Pipe Passer [Eclipse]
Pass Detailer Pipe v2 [RvTools]|Detailer Pipe Passer [Eclipse]
Pass Detailer Pipe_v2 [RvTools]|Detailer Pipe Passer [Eclipse]
Pass Basic Pipe [RvTools]|Basic Pipe Passer [Eclipse]
Pass Basic Pipe v2 [RvTools]|Basic Pipe Passer [Eclipse]
Pass Basic Pipe_v2 [RvTools]|Basic Pipe Passer [Eclipse]
Pass Pipe [RvTools]|Pipe Passer [Eclipse]
Pass Pipe v2 [RvTools]|Pipe Passer [Eclipse]
Pass Pipe_v2 [RvTools]|Pipe Passer [Eclipse]
Pass String [RvTools]|String Passer [Eclipse]
Pass String v2 [RvTools]|String Passer [Eclipse]
Pass String_v2 [RvTools]|String Passer [Eclipse]
Pass Integer [RvTools]|Int Passer [Eclipse]
Pass Integer v2 [RvTools]|Int Passer [Eclipse]
Pass Integer_v2 [RvTools]|Int Passer [Eclipse]
Pass Int [RvTools]|Int Passer [Eclipse]
Pass Int v2 [RvTools]|Int Passer [Eclipse]
Pass Int_v2 [RvTools]|Int Passer [Eclipse]
Pass Float [RvTools]|Float Passer [Eclipse]
Pass Float v2 [RvTools]|Float Passer [Eclipse]
Pass Float_v2 [RvTools]|Float Passer [Eclipse]
Pass Boolean [RvTools]|Boolean Passer [Eclipse]
Pass Boolean v2 [RvTools]|Boolean Passer [Eclipse]
Pass Boolean_v2 [RvTools]|Boolean Passer [Eclipse]
Pass Sampler [RvTools]|Any Passer [Eclipse]
Pass Sampler v2 [RvTools]|Any Passer [Eclipse]
Pass Sampler_v2 [RvTools]|Any Passer [Eclipse]
Pass Scheduler (Impact) [RvTools]|Any Passer [Eclipse]
Pass Scheduler (Impact) v2 [RvTools]|Any Passer [Eclipse]
Pass Scheduler (Impact)_v2 [RvTools]|Any Passer [Eclipse]
Pass Scheduler (ComfyUI) [RvTools]|Any Passer [Eclipse]
Pass Scheduler (ComfyUI) v2 [RvTools]|Any Passer [Eclipse]
Pass Scheduler (ComfyUI)_v2 [RvTools]|Any Passer [Eclipse]
Sampler Settings [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (Flux) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (Flux) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (Flux+Seed) [RvTools]|Smart Sampler Settings [Eclipse]
